"Conewago Valley School District","1","706","50","50"
"1","NeedGoogleMapsAPIKey","39.7982776","-77.014831","1"
"2","NeedGoogleMapsAPIKey","39.7772897","-77.0052906","1"
"3","NeedGoogleMapsAPIKey","39.7937825","-77.0270893","1"
"4","NeedGoogleMapsAPIKey","39.794094","-77.0266133","1"
"5","NeedGoogleMapsAPIKey","39.7980324","-77.0164866","1"
"6","NeedGoogleMapsAPIKey","39.7965438","-77.016061","1"
"7","NeedGoogleMapsAPIKey","39.7955104","-77.0099593","1"
"8","NeedGoogleMapsAPIKey","39.7795694","-77.0059955","1"
"9","NeedGoogleMapsAPIKey","39.7955886","-77.0160102","1"
"10","NeedGoogleMapsAPIKey","39.7982893","-77.0179","1"
"11","NeedGoogleMapsAPIKey","39.7948805","-77.0160022","1"
"12","NeedGoogleMapsAPIKey","39.7978543","-77.0158681","1"
"13","NeedGoogleMapsAPIKey","39.7739828","-77.0252487","1"
"14","NeedGoogleMapsAPIKey","39.7959477","-77.0182757","1"
"15","NeedGoogleMapsAPIKey","39.796938","-77.0222327","1"
"16","NeedGoogleMapsAPIKey","39.7974169","-77.0163313","1"
"17","NeedGoogleMapsAPIKey","39.795695","-77.0193424","1"
"18","NeedGoogleMapsAPIKey","39.7964146","-77.0241615","1"
"19","NeedGoogleMapsAPIKey","39.7757414","-77.0262908","1"
"20","NeedGoogleMapsAPIKey","39.7810774","-77.0043153","1"
"21","NeedGoogleMapsAPIKey","39.7793324","-77.0067605","1"
"22","NeedGoogleMapsAPIKey","39.7926048","-77.01487","1"
"23","NeedGoogleMapsAPIKey","39.7954609","-77.0155073","1"
"24","NeedGoogleMapsAPIKey","39.7747325","-77.0257153","1"
"25","NeedGoogleMapsAPIKey","39.7964638","-77.0222378","1"
"26","NeedGoogleMapsAPIKey","39.7943872","-77.0164682","1"
"27","NeedGoogleMapsAPIKey","39.7966805","-77.0146586","1"
"28","NeedGoogleMapsAPIKey","39.7798428","-77.0042314","1"
"29","NeedGoogleMapsAPIKey","39.7786632","-77.0272431","1"
"30","NeedGoogleMapsAPIKey","39.7849743","-77.002863","1"
"31","NeedGoogleMapsAPIKey","39.7840447","-77.0416575","1"
"32","NeedGoogleMapsAPIKey","39.7931219","-77.0512791","1"
